date | value


2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42 
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | 2147483647
2012-01-11 | 0
2012-01-11 | 0 
2012-01-11 | a42
2012-01-11 | a42
2012-01-11 | 4210a
2012-01-11 |
|




2012-01-11 | 4210

2012-01-11 | 4210
2012-011 | 1
1 | 1
 2012-01-11 | 1
2012-01-11 || 1
2012-01-11 | 1
2023-01-11 | 1
2022-03-24 | 1
2022-03-25 | 1
2022-03-26 | 1
2022-03-27 | 1
2022-03-28 | 1
2022-03-29 | 1
2022-03-29 | 0.787
2022-03-29 | 00000.7870
2022-03-29 | 00000.7879
2022-03-29 | 0.7879986896
2022-03-29 |  1
2000-03-29 | 1
2010-03-29 | 1
2009-01-02 | 1
2009-01-01 | 1
2008-31-12 | 1
